"Local Identifier","Title/Name","PSAP Assessment Score","Assessment Type","Location","Resource Type","Parent Resource","Format","Format Ink/Media Type","Format Support Type","Significance","Language","Rights","Description","Created","Updated","Has the disc been played back recently, or is there documentation of its playback quality?","Assess the level of palmitic acid deposits on the disc surface","If this disc is a lacquered (instantaneous) disc, what is the disc's core material?","Assess the level of dust, dirt or debris on this disc","Is this item exhibiting mold and/or pest (e.g. insect, rodent) damage?","What is the state of the disc, in terms of physical damage sustained?","Is the disc protected by an inner sleeve?","Does the container or item have any meaningful labeling?","Does this item have an appropriate container in good condition?","Is this item properly supported in storage?","Do you have appropriate playback equipment for this item?","Is this item played back or handled regularly?","Is this a unique item in terms of its content?"
"","Betty Ecke Tseng-Yuho Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Moderate"," ","No Deed of Gift","Papers of Betty Ecke (Tseng-Yuho). Papers cleared out of professor Ecke's office at University of Hawaii. No Deed of Gift.","2015-07-22T21:12:20Z","2015-07-22T21:12:20Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","David Asherman papers","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Moderate"," ","","","2015-07-22T00:25:50Z","2015-07-22T00:26:26Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Dietrich Varez","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ",""," ","","","2015-07-22T00:27:37Z","2015-07-22T00:27:37Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Digital Art Society of Hawaii","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Moderate"," ","","Business records for local non-profit. Business registered December 5, 1995. Purpose: to organize local computer artists in an effort to promote digital fine are.  This is to be done through art exhibits, workshops, social exchanges (Dept of Commerce & Consumer Affairs, business name search).","2015-07-22T20:59:45Z","2015-07-22T21:00:39Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Double folio","0.0","Unknown","Phase I; 3rd floor; #305","Collection"," ",""," "," ","Moderate"," ","","Double folio volumes stored flat.","2015-07-16T01:48:16Z","2015-07-16T01:48:16Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Francis Haar Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","High"," ","Photographer Tom Haar, the artist's son, retains rights.","Papers and photographs of fine art photographer Francis Haar","2015-07-22T21:31:31Z","2015-07-22T21:31:31Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Honolulu Academy of Arts slides","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Low"," ","","Slides from the Honolulu Academy of Arts, now known as the Honolulu Museum of Art.","2015-07-22T21:10:08Z","2015-07-22T21:10:08Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","John Dapper Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Moderate"," ","","Artist papers and original framed watercolors","2015-07-22T00:29:12Z","2015-07-22T00:29:12Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","John Kelly Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","High"," ","","","2015-07-22T00:28:21Z","2015-07-22T00:28:21Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","John Wisnosky Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Moderate"," ","","Artist papers of John Wisnosky. Former painting professor at the University of Hawaii at Manoa's art department. Occasionally painted under the alias Sam Redspoon.","2015-07-22T21:15:13Z","2015-07-22T21:15:13Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Jonathan Martin Collection (sp)","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ",""," ","","Artist papers and photographs.","2015-07-22T21:17:27Z","2015-07-22T21:17:27Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Juliette May Fraser Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","High"," ","","Artist papers, photos, sketches and mural drawings. Oversize mural drawings were rolled for long-term storage (2014-2015). Artist papers are partially processed, need to be labeled and rehoused in archival folders.","2015-07-16T02:19:46Z","2015-07-22T00:24:20Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Kenneth Kingrey Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","High"," ","","Artist papers of former design professor for the University of Hawaii at Manoa art department. ","2015-07-22T21:28:50Z","2015-07-22T21:28:50Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Madge Tennent Collection","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ",""," ","","Madge Tennent papers from Donald Angus.","2015-07-22T00:30:07Z","2015-07-22T00:30:07Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Olson","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ",""," ","","","2015-07-22T20:48:51Z","2015-07-22T20:48:51Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Rare books","0.0","Unknown","Phase III; 5th floor; A553D","Collection"," ",""," "," ","High"," ","","Rare books, excluding Asia, Hawaii and Pacific materials.","2015-07-16T01:55:19Z","2015-07-16T01:55:19Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Rare journals","0.0","Unknown","Phase I; 3rd floor; #304","Collection"," ",""," "," ",""," ","","","2015-07-16T01:45:31Z","2015-07-16T01:45:31Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","Society of Asian Art of Hawai`i, Inc.","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Moderate"," ","","Business records of the Society of Asian Art of Hawai`i, Inc. Business name change filed for Society of Asian Art of Hawaii on September 22, 1999. Registered with current name on October 1, 2007. Purpose: Education and appreciation of Asian art (Dept of Commerce & Consumer Affairs, business name search).","2015-07-22T20:47:19Z","2015-07-22T21:02:13Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
"","The Image Foundation","0.0","Unknown","Phase III; Ground floor A053 Cage","Collection"," ",""," "," ","Moderate"," ","","Corporate files of dissolved non-profit photograph organization based in Honolulu. Business registered July 26 1979. Purpose: To promote photography through education, exhibitions, the exchange of ideas (from Dept of Commerce & Consumer Affairs, business name search)","2015-07-22T20:39:47Z","2015-07-22T20:39:47Z"," "," "," "," "," "," "," "," "," "," "," "," "," "
